
Name	Description	Flags
dumpparticlelist	Print out information on existing particle systems	cheat
dumpstringtable	Usage: dumpstringtable <tablename |all> <sv | cl> <verbose | simple> <element> Print string tables to console, verbose to dump data, simple to show name and count only, can specifiy a single numeric element index to restrict spew.	developmentonly defensive
echo	Echo text to console.	server_can_execute
echoln	Echo the command arguments on the console	release
econ_build_pinboard_images_from_collection_name	Renders and saves images for all models in a collection.	developmentonly clientdll defensive
econ_clear_inventory_images	clear the local inventory images (they will regenerate)	developmentonly clientdll defensive
econ_show_items_with_tag	Lists the item definitions that have a specified tag.	developmentonly clientdll defensive
enable_priority_boost	Disable focus based priority boost	developmentonly defensive
endmatch_votenextmap	Votes for the next map at the end of the match	clientdll clientcmd_can_execute
endmovie	Stop recording movie frames.	developmentonly dontrecord defensive
endround	End the current round.	gamedll cheat
engine_frametime_print_report	Print a performance report from the current data in the vprof 'lite' profiler	developmentonly defensive
ent_absbox	Displays the total bounding box for the given entity(s) in green. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_actornames	Displays the entity name for all entities that have ShouldDisplayInActorNames true in code	gamedll cheat
ent_animgraph_debug	Displays debug draws about the given entity(ies) animgraph Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_animgraph_record	Toggles recording of animgraph replay of the given entity(s) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_animgraph_setvar	Sets a variable on the animgraph of the given entity(s) Arguments: <varname>=<value> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	gamedll cheat
ent_attachments	Displays the attachment points on an entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_autoaim	Displays the entity's autoaim radius. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_bbox	Displays the movement bounding box for the given entity(ies) in orange. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_call	ent_call <funcname> <option:entname> calls function on current look target or filtername, checks on ent, then root, then mode, then map scope	gamedll cheat
ent_cancelpendingentfires	Cancels all ent_fire created outputs that are currently waiting for their delay to expire.	developmentonly gamedll defensive
ent_characterize	Spew PVS debug info for entity	developmentonly gamedll defensive
ent_clear_debug_overlays	Clears all debug overlays	gamedll cheat
ent_create	Creates an entity of the given designer or subclass name where the player is looking.	gamedll cheat vconsole_fuzzy_matching
ent_debug_anim	Use the specified entity for animation debugging.	developmentonly clientdll defensive
ent_debug_origin_changes	turn on, off, or toggle origin changes on server for entity by index	developmentonly gamedll
ent_find	Find and list all entities with classnames or targetnames that contain the specified substrings. Format: find_ent <substring>	gamedll cheat
ent_find_index	Display data for entity matching specified index. Format: find_ent_index <index>	gamedll cheat
ent_fire	Usage: ent_fire <target> [action] [value] [delay]	gamedll cheat vconsole_fuzzy_matching
ent_fire_output	Usage: ent_fire_output <target> [output name] [value] [delay]	gamedll cheat vconsole_fuzzy_matching
ent_grab	grabs the object in front of the player. Options: -loose -multiple -toggle	gamedll cheat
ent_hierarchy	Prints the entity hierarchy tree rooted at the specified ent(s)	gamedll cheat
ent_hitbox	Displays the hitboxes for the given entity(ies). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_info	Usage: ent_info <class name>	gamedll cheat
ent_joints	Displays the joint names + axes an entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_kill	Kills the given entity(s) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_list_report	Reports all list of all entities in a map, one by one	developmentonly gamedll defensive
ent_messages	Toggles input/output message display for the selected entity(ies). The name of the entity will be displayed as well as any messages that it sends or receives. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_name	Displays the entity name	gamedll cheat
ent_orient	Orient the specified entity to match the player's angles. By default, only orients target entity's YAW. Use the 'allangles' option to orient on all axis. Format: ent_orient <entity name> <optional: allangles>	gamedll cheat
ent_picker	Toggles 'picker' mode. When picker is on, the bounding box, pivot and debugging text is displayed for whatever entity the player is looking at. Arguments: full - enables all debug information	gamedll cheat
ent_pivot	Displays the pivot for the given entity(ies). (y=up=green, z=forward=blue, x=left=red). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_rbox	Displays the total bounding box for the given entity(s) in green. Some entites will also display entity specific overlays. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
ent_remove	Removes the given entity(s) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_remove_all	Removes all entities of the specified type Arguments: {entity_name} / {class_name}	gamedll cheat
ent_rotate	Rotates an entity by a specified # of degrees	gamedll cheat
ent_scale	Scales entities. Arguments: <scale factor> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	gamedll cheat
ent_scenehierarchy	Prints the entity scenenode hierarchy tree rooted at the specified ent(s)	gamedll cheat
ent_script_dump	Dumps the names and values of this entity's script scope to the console Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_select	Select or deselects the given entities(s) for later manipulation Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_setang	Set entity angles	gamedll cheat client_can_execute
ent_setname	Sets the targetname of the given entity(s) Arguments: <new entity name> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	gamedll cheat
ent_setpos	Move entity to position	gamedll cheat client_can_execute
ent_show_damage	Sets damage display mode. When on, you will see the amount of damage dealt over the target's head.	gamedll cheat
ent_show_response_criteria	Print, to the console, an entity's current criteria set used to select responses. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_skeleton	Displays the skeleton for the given entity(ies). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_spew_derived_classes	Prints out all entity classes which inherit from a specified base class	developmentonly gamedll
ent_teleport	Teleport the specified entity to where the player is looking. Format: ent_teleport <entity name>	gamedll cheat
ent_text	Displays text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat vconsole_fuzzy_matching
ent_text_clear	Hide text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_text_filter	Set which ent_text filters you want:	gamedll cheat
ent_text_radius	Displays text debugging information about the given entity(ies) [near the player] on top of the entity (See Overlay Text) 2 Arguments: <Radius> <{entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}>	gamedll cheat
ent_text_sticky_add	Adds to list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_text_sticky_clear	Clears the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_text_sticky_dump	Spews the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_text_sticky_remove	Removes from the list of names to display text debugging information about the given entity(ies) on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_text256	Displays text debugging information about the given entity(ies) [within 256 units of the player] on top of the entity (See Overlay Text) Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_ungrab	un-grabs all objects	gamedll cheat
ent_vcollide_wireframe	Displays the interpolated vcollide wireframe pm am entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_viewentity	Selects the picked entity as the view entity	developmentonly gamedll
ent_viewoffset	Displays the eye position for the given entity(ies) in red. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
ent_viewpunch	Used to debug ViewPunch	developmentonly gamedll
ent_visibility_traces	Displays visibility traces for the given entity Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat vconsole_fuzzy_matching
entity_lump_list	List all known entity lumps	developmentonly defensive
entity_lump_spew	Dump the contents of an entity lump	developmentonly defensive
entityreport	Reports all extant entities. Optional 2nd arg is a substring of a classname that the list will be filtered by.	developmentonly gamedll defensive
entitysummary	Summarizes (by class) all extant entities. Optional 2nd arg is a substring of a classname that the list will be filtered by.	developmentonly gamedll defensive
ents	List server entities, sorted by spawn group	developmentonly gamedll defensive
error_message_explain_pure	Take user to Steam support article	clientdll hidden clientcmd_can_execute
error_message_explain_unsigned	Take user to Steam support article	clientdll hidden clientcmd_can_execute
error_message_explain_vac	Take user to Steam support article	clientdll hidden clientcmd_can_execute
escape	Escape key pressed.	release clientcmd_can_execute
exec	Execute a cfg file	dontrecord release
exec_async	Execute a cfg file over time	cheat dontrecord
execifexists	Execute a cfg file if file exists	dontrecord release
explode	Kills the player with explosive damage	gamedll cheat client_can_execute
explodevector	Kills a player applying an explosive force. Usage: explodevector <player> <x value> <y value> <z value>	gamedll cheat client_can_execute
fadein	fadein {time r g b}: Fades the screen in from black or from the specified color over the given number of seconds.	gamedll cheat
fadeout	fadeout {time r g b}: Fades the screen to black or to the specified color over the given number of seconds.	gamedll cheat
find	Find concommands with the specified string in their name/help text.	release
findflags	Find concommands by flags.	release
firetarget		gamedll cheat
firstperson	Switch to firstperson camera.	clientdll release execute_per_tick
fog_override_color	Sets the fog color override	cheat
force_assert	Fire an assertion failure	developmentonly
force_fatal_error	Fire a fatal error	developmentonly
force_floating_point_exceptions	Enable floating point exceptions to find bugs	developmentonly
force_hibernate	Force toggle hibernation state	developmentonly
fp_trace	Toggle field path tracing to file	developmentonly defensive
fs_clear_open_duplicate_times	Clear the list of files that have been opened.	developmentonly defensive
fs_dump_open_duplicate_times	Set fs_report_long_reads 1 before loading to use this. Prints a list of files that were opened more than once and ~how long was spent reading from them.	developmentonly defensive
fs_spew_readfieldlist	index <threshold bytes>: spew changes to ent index, optionally only spewing if update is > than threshold bytes	cheat
game_alias	Set the configuration of game type and mode based on game alias like "deathmatch".	release
game_particle_manager_dump_requeue	Dump contents of particle manager requeue	developmentonly clientdll
game_particle_manager_list_active	Dump counts of active particles	developmentonly clientdll
gameevents_analyze	compare game events across all mods	developmentonly gamedll
gameevents_dumptofile	write gameevents keyvalues (sorted by name) to gameevents_<modname>.txt	developmentonly gamedll
gameinstructor_dump_open_lessons	Gives a list of all currently open lessons.	clientdll cheat
gameinstructor_dump_run_lesson_counts	Gives a list of lessons that been completed or shown	clientdll cheat
gameinstructor_reload_lessons	Shuts down all open lessons and reloads them from the script file.	developmentonly clientdll defensive
gameinstructor_reset_counts	Resets all display and success counts to zero.	developmentonly clientdll
gameinstructor_teach_lesson	Force a specific lesson to be triggered	developmentonly clientdll defensive
gameui_activate	Shows the game UI	hidden release
gameui_allowescape	Escape key allowed to hide game UI	hidden release
gameui_allowescapetoshow	Escape key allowed to show game UI	hidden release
gameui_hide	Hides the game UI	release
gameui_preventescape	Escape key doesn't hide game UI	hidden release
gameui_preventescapetoshow	Escape key doesn't show game UI	hidden release
gcmd	Generate a command	clientdll hidden clientcmd_can_execute
generate_minidump_comment	Generate a minidump comment and spew the results to the console	developmentonly
generate_null_container	Generated a nulled out container.	linked_concommand developmentonly defensive
generate_trash_synth	Args: [Asset directory Path]	linked_concommand developmentonly defensive
getpos	dump position and angles to the console	clientdll cheat
getpos_exact	dump origin and angles to the console	clientdll cheat
give	Give item to player. Arguments: <item_name>	gamedll vconsole_fuzzy_matching client_can_execute
give_oriented	Give item oriented to player angles. Arguments: <item_name>	gamedll vconsole_fuzzy_matching client_can_execute
givecurrentammo	Give a supply of ammo for current weapon..	gamedll cheat
global_set	global_set <globalname> <state>: Sets the state of the given env_global (0 = OFF, 1 = ON, 2 = DEAD).	gamedll cheat
god	Toggle by default, or 0 to disable and 1 to enable. Player becomes invulnerable.	gamedll cheat client_can_execute
graphcontroller_dumpparams	Print all anim graph parameters for the specified entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	developmentonly gamedll
grep	grep line for pattern, print out matching lines only	release
groundlist	Display ground entity list <index>	developmentonly gamedll cheat
groups	Show status of all spawn groups.	gamedll cheat
gui	Opens server GUI	linked_concommand gamedll sponly release client_can_execute
help	Find help about a convar/concommand.	release
hideconsole	Hide the console.	dontrecord release
hideoverviewmap	Hides the overview map	developmentonly clientdll defensive
hideradar	Hides HUD radar	developmentonly clientdll defensive
host_timescale_dec	Decrement the timescale by one step	cheat
host_timescale_inc	Increment the timescale by one step	cheat
host_workshop_collection	Host a workshop map collection as a mapgroup	gamedll release
host_workshop_map	Get the latest version of the map and host it on this server.	gamedll release
host_writeconfig	Saves out the user config values.	release
hud_reloadscheme	Reloads hud layout and animation scripts.	developmentonly clientdll defensive
hurtme	Hurts the player. Arguments: <health to lose>	gamedll cheat client_can_execute
ic	interp entity count	developmentonly clientdll defensive
ik_debug_fabrik_backwards_iteration_toggle		linked_concommand developmentonly defensive
ik_debug_fabrik_forwards_iteration_toggle		linked_concommand developmentonly defensive
ime_hkl_info	Spew IME HKL info.	developmentonly dontrecord defensive
ime_info	Spew IME info.	developmentonly dontrecord defensive
ime_installed_names	Spew list of installed IMEs.	hidden dontrecord release
ime_supported_info	Spew IME Supported info.	developmentonly dontrecord defensive
imgui_cycle_undocked_window_focus	Cycles focus between the game window and undocked imgui windows	developmentonly defensive
imgui_debug_entity	Shows the entity browswer, focused on the entity you specify. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	gamedll cheat
imgui_set_selection	Sets ImGui selection	gamedll cheat
imgui_set_status_text	Sets ImGui header status text	gamedll cheat
import_csgo_config	Imports an existing CS:GO configuration file into CS2	developmentonly clientdll defensive
impulse	Triggers impulse command	clientdll release
in_forcebuttonstate	Forces a button to be a particular state - WHEN PROCESSING USERCOMMANDS	developmentonly gamedll vconsole_fuzzy_matching
in_forceinput	Forces a button to be a particular state -- WHEN SAMPLING INPUT	developmentonly clientdll vconsole_fuzzy_matching
incrementvar	Increment specified convar value.	dontrecord release
input_state	input_state	developmentonly
instant_replay_goto_tick	Goto a direct timestamp of the replay	developmentonly defensive
instant_replay_goto_tick_relative	Goto a direct timestamp of the replay	developmentonly defensive
instant_replay_live	If in replay, jumps back to live	developmentonly defensive
instant_replay_pause	Pauses instant replay.	developmentonly defensive
instant_replay_resume	Resumes instant replay.	developmentonly defensive
instant_replay_skip	Number of seconds to skip back to instant replay from current position	developmentonly defensive
instant_replay_skip_live	Number of seconds to skip back to instant replay from live	developmentonly defensive
instant_replay_timescale	Sets instant replay speed.	developmentonly defensive
instant_replay_togglepause	Toggles instant replay.	developmentonly defensive
invnext		clientdll server_can_execute
invnextselect		clientdll server_can_execute
invprev		clientdll server_can_execute
invprevselect		clientdll server_can_execute
iv_debug	Spew interpolated var info for entity.	developmentonly clientdll defensive
iv_interp	Spew interpolated var info for entity.	developmentonly clientdll defensive
iv_off	Turn off all interpolation variable spew.	developmentonly clientdll defensive
iv_on	Spew both interpolated var debug info and history for entity.	developmentonly clientdll defensive
jpeg_screenshot	Take a jpeg screenshot: jpeg_screenshot [filename] [quality 1-100].	developmentonly defensive
key_findbinding	Find key bound to specified command string.	release
key_listboundkeys	List bound keys with bindings.	release
key_updatelayout	Updates game keyboard layout to current windows keyboard setting.	developmentonly defensive
kick	Kick a player by name.	dontrecord release
kickid	Kick a player by userid or uniqueid, with a message.	dontrecord release
kickid_hltv	Kick a player by userid or uniqueid, with a message.	dontrecord release
kill	Kills the player with generic damage	gamedll cheat client_can_execute
killvector	Kills a player applying force. Usage: killvector <player> <x value> <y value> <z value>	gamedll cheat client_can_execute
lastinv		clientdll server_can_execute
launch_warmup_map	Launches warmup map	clientdll dontrecord clientcmd_can_execute
listdemo	List demo file contents.	release
listid	Lists banned users.	developmentonly defensive
listip	List IP addresses on the ban list.	developmentonly defensive
listissues	List all the issues that can be voted on.	gamedll client_can_execute
listRecentNPCSpeech	Displays a list of the last 5 lines of speech from NPCs.	developmentonly gamedll dontrecord defensive
load	Usage: load [save file name]	developmentonly dontrecord vconsole_fuzzy_matching defensive
localization_quest_item_string_printout	localization_quest_item_string_printout	developmentonly clientdll defensive
log	Enables logging to file, console, and udp < on | off >.	release
log_color	Set the color of a logging channel.	dontrecord release
log_dumpchannels	Dumps information about all logging channels.	dontrecord release
log_flags	Set the flags on a logging channel.	dontrecord release
log_level	Set the spew level of a logging channel.	dontrecord release
log_verbosity	Set the verbosity of a logging channel.	dontrecord release
logaddress_add_http	Set URI of a listener to receive logs via http post. Wrap URI in double quotes.	gamedll unlogged release
logaddress_add_http_delayed	Set a delay and URI of a listener to receive logs via http post. Wrap URI in double quotes.	gamedll unlogged release
logaddress_del_http	Remove http listener by URI. Wrap URI in double quotes.	gamedll unlogged release
logaddress_delall_http	Remove all http listeners from the dispatch list.	gamedll unlogged release
logaddress_list_http	List all URIs currently receiving server logs	gamedll unlogged release
loop_dump	Print the listeners of the current loop mode	developmentonly defensive
lrucache_flush	Flushes the specified cache	developmentonly defensive
lrucache_reset_stats	Resets stats for the specified CUtlLRUCaches (or all if none specified)	developmentonly defensive
lrucache_set_size	Sets the specified cache to the specified size	developmentonly defensive
lrucache_stats	Spews information about all CUtlLRUCaches	developmentonly defensive
lua_report_memory		developmentonly defensive
map	map <mapname> :Load a new map.	release vconsole_fuzzy_matching vconsole_set_focus
map_enable_portrait_worlds	Enables/disables portrait worlds	clientdll cheat
map_setbombradius	Sets the bomb radius for the map.	gamedll cheat
map_showbombradius	Shows bomb radius from the center of each bomb site and planted bomb.	gamedll cheat
map_showspawnpoints	Shows player spawn points (red=invalid). Optionally pass in the duration.	developmentonly gamedll defensive
map_workshop	Launch a workshop map	clientdll release vconsole_fuzzy_matching vconsole_set_focus
mapgroup	Specify a map group	gamedll dontrecord release
maps	Displays list of maps.	release
markup_group_ent_bbox	markup_group_ent_bbox <markup_group name> -> toggle ent_bbox for all members of the named markup group	gamedll cheat
markup_group_ent_text	markup_group_ent_text <markup_group name> -> toggle ent_text for all members of the named markup group	gamedll cheat
markup_group_spew	Spew all current markup groups and their members	gamedll cheat
mat_assert_on_shader_use	Assert on shader used based on substring of shader name	developmentonly
mat_clearshadercache	Clears the shader cache used for dynamic shader compile.	developmentonly defensive
mat_debug	Sets a mat_fullbright debug visualization mode	developmentonly clientdll defensive
mat_disable_dynamic_shader_compile	Reloads all shaders from vcs files until the next time mat_reloadshaders is called	developmentonly defensive
mat_forcereloadshaders	Force reloads all shaders (skips MD5 check). Takes optional substrings of shader names to recompile as arguments.	developmentonly defensive
mat_print_dead_materials	Print loaded materials that have no valid layers due to not supporting any of the modes in gameinfo.gi.	developmentonly defensive
mat_print_error_materials	Print loaded materials that are using the error shader or material.	developmentonly defensive
mat_print_expensive_materials	Print materials sorted by cost heuristic	developmentonly defensive
mat_print_material_info	Print info about a specific material	developmentonly defensive
mat_print_materials	Print loaded materials. Takes an optional substring as an argument.	developmentonly defensive
mat_print_materials_last_frame	Print materials used last frame	developmentonly defensive
mat_print_materials_unused	Print materials that have never been used	developmentonly defensive
mat_print_modes	Print supported rendering modes.	developmentonly defensive
mat_print_shader_info	Print detailed info about a single shader. Takes a shader name (hero.vfx) as an argument.	developmentonly defensive
mat_print_shader_quality	Print current shader quality setting	developmentonly defensive
mat_print_shaders	Print loaded shaders. Takes a substring as an argument.	developmentonly defensive
mat_print_textures	Print loaded textures in alphabetical order. Takes an optional substring as an argument.	developmentonly defensive
mat_print_textures_size	Print loaded textures in ascending size order. Takes an optional substring as an argument.	developmentonly defensive
mat_print_textures_size_in_memory	Print loaded textures in ascending size order as they are in memory. Takes an optional substring as an argument.	developmentonly defensive
mat_reinitmaterials	Reinitializes all loaded materials, reloading their shaders.	developmentonly defensive
mat_reloadmaterials	Reloads all materials. Takes an optional substring as an argument.	developmentonly defensive
mat_reloadshaders	Reloads all shaders. Takes optional substrings of shader names to recompile as arguments.	developmentonly defensive
mat_reset_material_costs	Reset material cost heuristic	developmentonly defensive
mat_set_shader_quality	Force shader quality setting (valid values are 0 or 1)	developmentonly defensive
matchdraft_debug_sendlog	Print debug draft into HTTP log	clientdll hidden dontrecord release clientcmd_can_execute
mem_compact	Compacts the heap	developmentonly defensive
mem_dump	Dump memory stats to text file or <stdout>.	developmentonly defensive
mem_test		developmentonly defensive
memory	Print memory stats.	developmentonly defensive
memory_check_limit	Assert if peak memory use is over the limit.	developmentonly
menuselect	menuselect	clientdll clientcmd_can_execute
meta	Metamod:Source control options	release
minimap_create	Does a bunch of work to create a minimap	clientdll cheat
mm_datacenter_debugprint	Shows information retrieved from data center	developmentonly defensive
mm_debugprint	Show debug information about current matchmaking session	developmentonly defensive
mm_ignored_sessions_reset	Reset ignored sessions	developmentonly
mm_queue_draft_show	Display current draft	clientdll hidden clientcmd_can_execute
mm_queue_show_stats	Display global server stats	clientdll clientcmd_can_execute
model_dump_convert_info	Print model load-time conversion info	linked_concommand developmentonly gamedll clientdll defensive
movie_fixwave	Fixup corrupted .wav file if engine crashed during startmovie/endmovie, etc.	developmentonly defensive
mp_backup_restore_list_files	Lists recent backup round files matching the prefix, most recent files first, accepts a numeric parameter to limit the number of files displayed	gamedll release
mp_backup_restore_load_file	Loads player cash, KDA, scores and team scores; resets to the next round after the backup	gamedll release
mp_bot_ai_bt_clear_cache	Clears the cache for behavior tree files.	gamedll release
mp_debug_timeouts	Prints time outs to the console for debugging	developmentonly gamedll defensive
mp_disable_autokick	Prevents a userid from being auto-kicked	gamedll release
mp_dump_timers	Prints round timers to the console for debugging	developmentonly gamedll defensive
mp_modify_timeouts	mp_modify_timeouts <CT|T> <N>, e.g., mp_modify ct -1	gamedll release
mp_pause_match	Pause the match in the next freeze time	gamedll release
mp_scrambleteams	Scramble the teams and restart the game	gamedll release
mp_swapteams	Swap the teams and restart the game	gamedll release
mp_unpause_match	Resume the match	gamedll release
mp_warmup_end	End warmup immediately.	gamedll release
mp_warmup_start	Start warmup.	gamedll release
multvar	Multiply specified convar value.	dontrecord release
nav_add_to_selected_set	Add current area to the selected set.	gamedll cheat
nav_add_to_selected_set_by_id	Add specified area id to the selected set.	gamedll cheat
nav_avoid	Toggles the 'avoid this area when possible' flag used by the AI system.	gamedll cheat
nav_begin_deselecting	Start continuously removing from the selected set.	gamedll cheat
nav_begin_drag_deselecting	Start dragging a selection area.	gamedll cheat
nav_begin_drag_selecting	Start dragging a selection area.	gamedll cheat
nav_begin_selecting	Start continuously adding to the selected set.	gamedll cheat
nav_check_connectivity	Checks to be sure every (or just the marked) nav area can get to every goal area for the map (hostages or bomb site).	gamedll cheat
nav_clear_attribute	Remove given nav attribute from all areas in the selected set.	gamedll cheat
nav_clear_attributes	Clear all nav attributes of selected area.	gamedll cheat
nav_clear_selected_set	Clear the selected set.	gamedll cheat
nav_create_indirect_connection	Create a connection between the selected area and the area pointed at by the crosshair.	gamedll cheat
nav_delete	Deletes the currently highlighted Area.	gamedll cheat
nav_delete_all_hull	Deletes all areas with given hull category.	gamedll cheat
nav_delete_marked	Deletes the currently marked Area (if any).	gamedll cheat
nav_disconnect	To disconnect two Areas, mark an Area, highlight a second Area, then invoke the disconnect command. This will remove all connections between the two Areas.	gamedll cheat
nav_end_deselecting	Stop continuously removing from the selected set.	gamedll cheat
nav_end_drag_deselecting	Stop dragging a selection area.	gamedll cheat
nav_end_drag_selecting	Stop dragging a selection area.	gamedll cheat
nav_end_selecting	Stop continuously adding to the selected set.	gamedll cheat
nav_lower_drag_volume_max	Lower the top of the drag select volume.	gamedll cheat
nav_lower_drag_volume_min	Lower the bottom of the drag select volume.	gamedll cheat
nav_mark	Marks the Area or Ladder under the cursor for manipulation by subsequent editing commands.	gamedll cheat
nav_mark_attribute	Set nav attribute for all areas in the selected set.	gamedll cheat
nav_precise	Toggles the 'dont avoid obstacles' flag used by the AI system.	gamedll cheat
nav_raise_drag_volume_max	Raise the top of the drag select volume.	gamedll cheat
nav_raise_drag_volume_min	Raise the bottom of the drag select volume.	gamedll cheat
nav_recall_selected_set	Re-selects the stored selected set.	gamedll cheat
nav_remove_from_selected_set	Remove current area from the selected set.	gamedll cheat
nav_select_radius	Adds all areas in a radius to the selection set	gamedll cheat
nav_select_with_attribute	Selects areas with the given attribute.	gamedll cheat
nav_split	To split an Area into two, align the split line using your cursor and invoke the split command.	gamedll cheat
nav_store_selected_set	Stores the current selected set for later retrieval.	gamedll cheat
nav_switch	Switches to navmesh for the specified spawngroup	developmentonly gamedll defensive
nav_test_level_hull	Find entities that intrude into the nav mesh. List those entities in console output, and display bounding boxes around them for a while.	gamedll cheat
nav_test_level_hull_move		gamedll cheat
nav_toggle_deselecting	Start or stop continuously removing from the selected set.	gamedll cheat
nav_toggle_in_selected_set	Remove current area from the selected set.	gamedll cheat
nav_toggle_selected_set	Toggles all areas into/out of the selected set.	gamedll cheat
nav_toggle_selecting	Start or stop continuously adding to the selected set.	gamedll cheat
nav_unmark	Clears the marked Area or Ladder.	gamedll cheat
net_captureculldata	Captures low-level data to replay path culling algorithm behavior in controlled unit test environment	developmentonly defensive
net_channels	Shows net channel info	release
net_connections_stats	Print detailed network statistics for each network connection	release
net_fakeclear	Clear all simulated network conditions	release
net_fakejitter	Shortcut to set jitter net options. Run with no arguments for usage.	release
net_fakelag	Shortcut to set both FakePacketLag_Recv and FakePacketLag_Send net options	release
net_fakeloss	Shortcut to set both FakePacketLoss_Recv and FakePacketLoss_Send net options	release
net_fakestatus	Print current simulated network condifions	release
net_listallmessages	List all registered net messages	cheat
net_messageinfo	Display info about a message (by classname or id)	cheat
net_option	Get or set SteamNetworkingSockets options such as fake packet lag and loss	release
net_print_sdr_ping_times	Print current ping times to SDR points of presence, and selected route	release
net_reloadgameevents	Reload the game events	developmentonly gamedll
net_serializedentitymemory	Spew CSerializedEntity memory	developmentonly defensive
net_serializedentitymetadatainfo	Spew CSerializedEntity metadata information	developmentonly defensive
net_spewcounts	Spew serializer counts, client only by default, specify server to spew server counts	developmentonly defensive
net_spewserializer	Spew serializer info	developmentonly
net_stats_json	Output server networking statistics in json format	developmentonly defensive
net_status	Shows current network status	release
net_validatemessages	Activates/deactivates net message validation	cheat
net_why_field_excluded	<classname> <fieldname>: spew why field was excluded from networking for classname.	developmentonly
nextdemo	Play next demo in sequence.	release
noclip	Toggle. Player becomes non-solid and flies. Optional argument of 0 or 1 to force enable/disable	gamedll cheat client_can_execute
notarget	Toggle. Player becomes hidden to NPCs.	gamedll cheat client_can_execute
open_asset	Opens an asset in it's primary editor of choice. Specify the full path to the asset from the mod directory.	developmentonly defensive
p2p_listpeers	List currently known peers.	developmentonly defensive
p2p_ping	Ping a peer.	developmentonly clientdll defensive
panorama_dispatch_event	Dispatch the event defined by the argument string. No creating panel is specified.	developmentonly defensive
panorama_dump_symbols	<ESymbolType> Dump all of the symbols in the Panorama symbol table	developmentonly defensive
panorama_generate_layout_xsd	Generate the Layout XML Schema Definition for the current run-time (types are dependent on which game DLL is running).	developmentonly defensive
panorama_print_cache_status	Print internal panorama refcounts for every file	developmentonly defensive
panorama_print_svg_stats		developmentonly
